Constituency,Winner_Party,Winner_Alliance,Electors_2026,New_Voters,Elector_Growth,DMK_Alliance_Share,AIADMK_Alliance_Share,NTK_share,DMK_share_adj,AIADMK_share_adj,TVK_share_adj,Others_share_adj,Winner_adj,LR_DMK_WinProb,Seat_Risk
Madathukulam,AIADMK,AIADMK_Alliance,212742,0.0,0.851427770996338,0.4281151389209574,0.463507822893646,0.0343316730987015,0.42091266713265196,0.4351407159466487,0.08969169755784864,0.054254919362850616,AIADMK_Alliance,0.2317977998186802,AIADMK Safe
Madavaram,DMK,DMK_Alliance,420601,4804.0,1.011553714913768,0.5004459861248761,0.31190617773372975,0.09069375619425174,0.4822051079294423,0.20848701494167157,0.2686499950369802,0.04065788209190574,DMK_Alliance,0.9994651960364099,DMK Safe
Madurai Central,DMK,DMK_Alliance,196856,0.0,0.9590521336249945,0.4898949340828482,0.2611858395235227,0.07505186374891254,0.501095460033275,0.2252781392540476,0.11420152636113028,0.15942487435154712,DMK_Alliance,0.9999396800452875,DMK Safe
Madurai East,DMK,DMK_Alliance,330993,4218.0,1.0129079641955474,0.5159021740958082,0.30738738587258085,0.07426899601499841,0.49939814448033365,0.2185621263445781,0.22679461350084523,0.0552451156742431,DMK_Alliance,0.9997962683278684,DMK Safe
Madurai North,DMK,DMK_Alliance,218719,3670.0,1.017065878009198,0.4663506987914868,0.3199749610363065,0.0977988706916375,0.4720567764967107,0.2662810689726089,0.1757739319616952,0.08588822256898511,DMK_Alliance,0.9992237203192927,DMK Safe
Madurai South,DMK,DMK_Alliance,177605,0.0,0.8746128125200057,0.424884836267951,0.38081483836491176,0.07091109562817503,0.4223055278348952,0.3398640589460919,0.14003162000370273,0.09779879321531029,DMK_Alliance,0.9360241910636803,DMK Safe
Madurai West,AIADMK,AIADMK_Alliance,271341,0.0,0.9793865411547291,0.3706704215296439,0.43283389689331364,0.0903546957271907,0.35304629131462756,0.366941767782141,0.21777068583431167,0.06224125506891977,AIADMK_Alliance,0.19190528185878708,AIADMK Safe
Madurantakam,AIADMK,AIADMK_Alliance,211295,0.0,0.8277087242485613,0.44702489211265484,0.4777337738509056,0.05000484282347371,0.42431971895756293,0.42259107755539405,0.13262165721244393,0.020467546274599204,DMK_Alliance,0.3727467887639963,AIADMK Safe
Maduravoyal,DMK,DMK_Alliance,364031,0.0,0.9676657052858225,0.4429035673859861,0.32707854091357214,0.07684302771387885,0.4234237104210237,0.24161059695200493,0.2253875275436317,0.10957816508333958,DMK_Alliance,0.9880635169759232,DMK Safe
Mailam,PMK,AIADMK_Alliance,207665,0.0,0.8541772068592488,0.44530451044980196,0.4800580827057049,0.047121572527106206,0.4228595998460924,0.42566443452187064,0.13101298644518017,0.02046297918685679,AIADMK_Alliance,0.33809830424312054,AIADMK Safe
Manachanallur,DMK,DMK_Alliance,234217,0.0,0.8667705334211636,0.5913714486145212,0.28830972097255475,0.07341944601182397,0.616503779364902,0.26770219762905567,0.08690463061474082,0.02888939239130158,DMK_Alliance,0.9999971030957874,DMK Safe
Manamadurai,DMK,DMK_Alliance,257616,0.0,0.9235865629369376,0.4400845066260877,0.37069156558866545,0.11438927218914513,0.4673096059944441,0.3593354765232061,0.11847239661688647,0.054882520865463406,DMK_Alliance,0.986464079969201,DMK Safe
Manapparai,DMK,DMK_Alliance,266019,0.0,0.8733416721656998,0.4422903476017822,0.4354176813319624,0.0877121777873983,0.4462861332292516,0.40778194887506014,0.12434553154545216,0.0215863863502361,DMK_Alliance,0.7941941812705131,DMK Safe
Mannargudi,DMK,DMK_Alliance,231935,0.0,0.8738282898306107,0.4511331114894762,0.25761661034316796,0.054018806700857534,0.44869997486515706,0.2159386086358401,0.11277760709056958,0.22258380940843323,DMK_Alliance,0.9993134447729368,DMK Safe
Mayiladuthurai,INC,DMK_Alliance,232618,0.0,0.9696861061319771,0.4216788822721026,0.4059780119102153,0.0755038937242327,0.412040014954297,0.35097933249632807,0.17631006789720713,0.06067058465216766,DMK_Alliance,0.82714779902767,DMK Safe
Melur,AIADMK,AIADMK_Alliance,227789,0.0,0.9072584178369724,0.26360363711962886,0.45597487717608953,0.058370080204834175,0.25134037782921487,0.42703278020044566,0.1144144498249487,0.20721239214539086,AIADMK_Alliance,0.00055242581036133,AIADMK Safe
Mettuppalayam,AIADMK,AIADMK_Alliance,279438,0.0,0.9038036095478362,0.4566093396658122,0.46752087007903753,0.048666491916315315,0.42279643166914993,0.39287682995854634,0.1640118064169981,0.020314931955305583,DMK_Alliance,0.4724137408868343,Marginal
Mettur,PMK,AIADMK_Alliance,253445,0.0,0.8446533670157103,0.4413024967725987,0.4528845185449685,0.04169985625474954,0.4014260937945768,0.3585687893543013,0.21932733098417595,0.020677785866945984,DMK_Alliance,0.40516338692092296,Marginal
Modakkurichi,BJP,AIADMK_Alliance,206122,0.0,0.8251349057661206,0.42805061119451,0.4295957813006923,0.07117680375239886,0.4296271392627541,0.40006522854119675,0.12490195605336261,0.04540567614268644,DMK_Alliance,0.7032533752607486,DMK Safe
Mudhukulathur,DMK,DMK_Alliance,297310,0.0,0.9784311402469525,0.46064652619873153,0.36697662433943756,0.050828839173104656,0.4280564215482407,0.2721123477852689,0.22903230903490396,0.07079892163158633,DMK_Alliance,0.9738106112975012,DMK Safe
Musiri,DMK,DMK_Alliance,212612,0.0,0.861303874028252,0.5042903408901205,0.3726642404816756,0.07963562707978587,0.521092780802817,0.35187946829851147,0.10531715974309495,0.02171059115557671,DMK_Alliance,0.9982683859139176,DMK Safe
Mylapore,DMK,DMK_Alliance,194731,0.0,0.9239685891200683,0.4457537639314345,0.3634165417454214,0.0659844880401486,0.44650460429170263,0.32761069072651167,0.12295957398499045,0.10292513099679525,DMK_Alliance,0.9824071920889428,DMK Safe
Nagapattinam,VCK,DMK_Alliance,172979,0.0,0.8771843527824826,0.46169545834494286,0.4112775146280301,0.0694901086653664,0.4770141715114987,0.4036705157382927,0.07664208027332477,0.04267323247688384,DMK_Alliance,0.9619859544335176,DMK Safe
Nagercoil,BJP,AIADMK_Alliance,257022,4021.0,1.0158932178133684,0.41879088959470095,0.4821456687569563,0.05838151858186063,0.3982659441028973,0.42202799521264106,0.15683430998000106,0.022871750704460514,AIADMK_Alliance,0.15701448201794255,AIADMK Safe
Namakkal,DMK,DMK_Alliance,235351,0.0,0.8286715256505053,0.5150634313379345,0.3850134697884977,0.04895554727968311,0.4861701779139982,0.3042884140114057,0.18883026026144809,0.02071114781314807,DMK_Alliance,0.9956343655458534,DMK Safe
Nanguneri,INC,DMK_Alliance,254420,0.0,0.962061311461772,0.3942510466336315,0.30861927468029626,0.09169861106782601,0.40881580310574317,0.28930166591366174,0.10094924497346326,0.20093328600713167,DMK_Alliance,0.9816007122373004,DMK Safe
Nannilam,AIADMK,AIADMK_Alliance,264462,0.0,0.8674639516118451,0.44701816674476447,0.4669511228057528,0.0604611974191688,0.40903231509148136,0.38230624555182624,0.18825528275232414,0.020406156604368213,DMK_Alliance,0.4514827062054348,Marginal
Natham,AIADMK,AIADMK_Alliance,258603,0.0,0.8358182423456938,0.42544973451013124,0.4784233986254906,0.06553781676759425,0.39521474802556533,0.405285125372733,0.17881990570750048,0.020680220894201292,AIADMK_Alliance,0.1930584564687097,AIADMK Safe
Neyveli,DMK,DMK_Alliance,189024,0.0,0.8384186504504265,0.4580332663132882,0.4520806677633583,0.04743191372692378,0.4550249670440576,0.4237102883056853,0.10030119025724575,0.02096355439301159,DMK_Alliance,0.7229895876627928,DMK Safe
Nilakkottai,AIADMK,AIADMK_Alliance,219077,0.0,0.863007331014406,0.3454614323205541,0.51494818863126,0.09472146316387543,0.3593475542138996,0.5243077802747806,0.08904134321612914,0.02730332229519069,AIADMK_Alliance,0.005960833621861731,AIADMK Safe
Oddanchatram,DMK,DMK_Alliance,217698,0.0,0.7855248487210297,0.5450643351374929,0.4096780269236107,0.024504847439481354,0.5049704440212922,0.33613275918863106,0.13909203547674212,0.01980476131333476,DMK_Alliance,0.9951748607464606,DMK Safe
Omalur,AIADMK,AIADMK_Alliance,291866,0.0,0.8532347180401673,0.35013873997598655,0.5721789203580334,0.037811161038762864,0.31462734660794806,0.4989587161424039,0.1660708549407574,0.02034308230889063,AIADMK_Alliance,0.00015059247377532324,AIADMK Safe
Orathanadu,AIADMK,AIADMK_Alliance,231251,0.0,0.8775596168733587,0.31916180150125106,0.46946934945788155,0.047174728940783985,0.2941769831516642,0.41113967668135776,0.1631465452094162,0.13153679495756168,AIADMK_Alliance,0.00272641486829683,AIADMK Safe
Ottapidaram,DMK,DMK_Alliance,240988,0.0,0.9864994309948175,0.41109986504723345,0.3932017543859649,0.12602901484480433,0.42656702282354975,0.36227338437203127,0.1752582844320266,0.0359013083723925,DMK_Alliance,0.939727995487174,DMK Safe
Padmanabhapuram,DMK,DMK_Alliance,234056,325.0,1.0013904873551218,0.5156679752697525,0.3576659065798444,0.08168386656950093,0.48878868240021817,0.26585501472347234,0.22404506605540622,0.02131123682090312,DMK_Alliance,0.9994453928831627,DMK Safe
Palacode,AIADMK,AIADMK_Alliance,237476,0.0,0.8368195528993883,0.3967666206829788,0.5444420242503448,0.037290350686125025,0.362971423187964,0.47593519211897917,0.14101980223985366,0.020073582453203138,AIADMK_Alliance,0.004144170954721582,AIADMK Safe
Palani,DMK,DMK_Alliance,237359,0.0,0.8413375821012969,0.5286000856931407,0.3822595723133253,0.037276516184318154,0.520745862221058,0.3404175214966555,0.11328617403209755,0.025550442250188897,DMK_Alliance,0.9970992661565392,DMK Safe
Palayamkottai,DMK,DMK_Alliance,255130,33851.0,1.1529788185955288,0.5532090557510972,0.22953485917897337,0.07241248735186943,0.5311629946827576,0.16237103408926692,0.19054663752059015,0.11591933370738534,DMK_Alliance,0.9999984749902147,DMK Safe
Palladam,AIADMK,AIADMK_Alliance,322530,0.0,0.8978670333891954,0.36026018026010376,0.4852683061133184,0.07848235829467977,0.3332579701487031,0.41122831067423166,0.2307371193927386,0.02477659978432664,AIADMK_Alliance,0.01118909924781838,AIADMK Safe
Pallavaram,DMK,DMK_Alliance,330217,0.0,0.9030933868634299,0.4749430866210358,0.346980022089153,0.08024974266888059,0.4448812158386358,0.23425171412401052,0.28600578623374606,0.034861283803607666,DMK_Alliance,0.9948651851031094,DMK Safe
Panruti,DMK,DMK_Alliance,240048,0.0,0.8868593722291186,0.4760288050180412,0.4692538404153282,0.03322523839248106,0.42484115871072137,0.37239568910742527,0.1829916980903111,0.019771454091542382,DMK_Alliance,0.6295315046244068,DMK Safe
Papanasam,DMK,DMK_Alliance,254652,0.0,0.9411338605957572,0.43946655024316944,0.3568549410606045,0.07474794651287935,0.42762930918306313,0.2910035513731821,0.18936095791489624,0.09200618152885867,DMK_Alliance,0.978696412004916,DMK Safe
Pappireddipatti,AIADMK,AIADMK_Alliance,254658,0.0,0.8388967034849438,0.3509778546023874,0.5181452890123713,0.03426789867598215,0.3066180922579833,0.42290346186917926,0.22725523977882092,0.0432232060940164,AIADMK_Alliance,0.0011638518141854747,AIADMK Safe
Paramakudi,DMK,DMK_Alliance,233433,0.0,0.9329222235099933,0.4658812679102757,0.4039789633175595,0.09019642288562676,0.48192259227329065,0.38693992611780254,0.10927604868507303,0.021861432923833895,DMK_Alliance,0.9790956800620902,DMK Safe
